time,pid,x,y,z
1493733884895,SA0297,0.0002,-0.0004,-0.0027
1493733884940,SA0297,-0.0002,0.0031,-0.004
1493733884985,SA0297,0.0021,0.0008,-0.0025
1493733885030,SA0297,-0.0015,-0.0132,-0.0025
1493733885075,SA0297,0.003,-0.0158,-0.0033
1493733885120,SA0297,-0.0004,0.022,-0.0043
1493733885166,SA0297,0.0149,0.009000000000000001,-0.003
1493733885211,SA0297,-0.0064,-0.0081,-0.0052
1493733885255,SA0297,-0.0009,-0.0217,-0.0079
1493733885301,SA0297,-0.0052,-0.0093,-0.0048
1493733885345,SA0297,0.0009,0.0042,-0.0093
1493733885396,SA0297,0.0037,-0.013,-0.0055
1493733885441,SA0297,-0.0011,-0.0068,0.0036
1493733885486,SA0297,-0.0023,0.0052,-0.0027
1493733885531,SA0297,-0.0018,-0.037000000000000005,-0.0088
1493733885576,SA0297,0.0054,0.0243,-0.0151
1493733885621,SA0297,0.002,0.009000000000000001,-0.0111
1493733885665,SA0297,0.0058,0.0439,-0.0088
1493733885711,SA0297,0.0248,0.0475,-0.0063
1493733885756,SA0297,0.005,-0.0174,0.0029
1493733885801,SA0297,0.0172,-0.0867,-0.0097
1493733885845,SA0297,-0.0058,-0.0137,0.0024
1493733885891,SA0297,0.0065,-0.0058,-0.0009
1493733885937,SA0297,-0.0003,-0.0159,-0.0003
1493733885981,SA0297,0.0057,-0.0005,-0.0059
1493733886025,SA0297,-0.0042,0.0035,0.0001
1493733886071,SA0297,0.0002,-0.0035,-0.0028
1493733886116,SA0297,-0.0033,0.0044,-0.0014
1493733886161,SA0297,0.0021,0.0055,0.0038
1493733886206,SA0297,-0.0041,0.0036,-0.0047
1493733886251,SA0297,-0.0031,0.0131,0.0004
1493733886296,SA0297,-0.0,-0.0119,-0.0059
1493733886341,SA0297,-0.0022,-0.0011,-0.002
1493733886390,SA0297,0.0004,0.0005,-0.0043
1493733886435,SA0297,-0.0036,-0.0107,-0.0025
1493733886481,SA0297,0.0007,-0.0001,-0.004
1493733886526,SA0297,-0.0003,0.0038,-0.0049
1493733886571,SA0297,-0.0019,-0.0065,-0.0032
1493733886616,SA0297,0.002,-0.0019,-0.0004
1493733886661,SA0297,-0.0004,0.0001,-0.0042
1493733886705,SA0297,-0.0032,-0.0014,-0.0024
1493733886751,SA0297,-0.0022,-0.002,-0.004
1493733886796,SA0297,-0.0012,-0.001,-0.0041
1493733886841,SA0297,-0.0026,-0.0002,-0.0024
1493733886886,SA0297,0.0005,-0.0009,-0.0016
1493733886931,SA0297,-0.0012,-0.0058,-0.0035
1493733886976,SA0297,0.0145,0.0041,-0.0356
1493733887021,SA0297,0.009000000000000001,-0.0,-0.0222
1493733887067,SA0297,-0.0364,-0.0328,0.0169
1493733887111,SA0297,0.1672,0.0352,0.0652
1493733887156,SA0297,-0.1267,0.1881,0.0165
1493733887201,SA0297,0.0758,0.1846,0.0097
1493733887247,SA0297,0.0462,-0.0365,-0.0891
1493733887291,SA0297,0.0447,-0.0953,-0.0678
1493733887336,SA0297,-0.1136,0.0047,-0.0518
1493733887385,SA0297,-0.0126,0.032,0.0841
1493733887431,SA0297,0.1024,-0.0133,0.0037
1493733887476,SA0297,0.02,-0.0242,-0.033
1493733887521,SA0297,-0.0242,-0.012,-0.1161
1493733887567,SA0297,-0.0107,0.0053,-0.0788
1493733887611,SA0297,-0.0202,0.0012,0.0425
1493733887656,SA0297,0.0316,0.0254,0.065
1493733887701,SA0297,-0.0072,-0.0005,0.0364
1493733887745,SA0297,-0.0073,0.001,-0.0016
1493733887791,SA0297,0.0214,-0.0088,0.0108
1493733887836,SA0297,0.0009,-0.0151,-0.0621
1493733887881,SA0297,-0.0056,-0.0041,-0.0273
1493733887926,SA0297,0.0142,0.0097,-0.0342
1493733887972,SA0297,0.0125,-0.0108,-0.0028
1493733888016,SA0297,-0.0225,0.0112,0.0245
1493733888061,SA0297,-0.0098,-0.0029,-0.0015
1493733888105,SA0297,0.0061,0.0057,0.0037
1493733888151,SA0297,-0.0194,0.0061,0.0124
1493733888196,SA0297,0.0181,-0.0069,-0.1177
1493733888241,SA0297,0.0111,0.0176,0.0832
1493733888287,SA0297,-0.0095,-0.002,0.009000000000000001
1493733888331,SA0297,-0.006999999999999999,0.0028,-0.0059
1493733888382,SA0297,0.0108,-0.0091,-0.0243
1493733888427,SA0297,-0.0081,0.0051,0.0348
1493733888472,SA0297,0.0213,-0.0172,-0.0267
1493733888516,SA0297,-0.0506,0.0089,0.0222
1493733888561,SA0297,0.0044,0.0004,-0.0328
1493733888608,SA0297,0.0251,-0.0044,-0.0018
1493733888651,SA0297,-0.0381,0.0072,0.027000000000000003
1493733888697,SA0297,0.023,0.0018,0.0054
1493733888742,SA0297,-0.0014,-0.0054,-0.0228
1493733888787,SA0297,-0.0052,-0.0034,-0.0865
1493733888832,SA0297,0.0177,0.0104,0.1393
1493733888876,SA0297,-0.0033,0.0074,0.0751
1493733888921,SA0297,-0.0082,-0.0186,-0.1089
1493733888966,SA0297,0.0236,0.0045,0.0038
1493733889012,SA0297,-0.0106,-0.0024,0.0117
1493733889057,SA0297,-0.0111,0.0067,-0.0181
1493733889103,SA0297,-0.001,-0.0034,0.002
1493733889147,SA0297,-0.0138,0.011,0.0486
1493733889192,SA0297,-0.0152,-0.009000000000000001,-0.0635
1493733889237,SA0297,0.0077,-0.0052,-0.0218
1493733889281,SA0297,-0.0142,0.0063,-0.0209
1493733889327,SA0297,0.0001,-0.012,-0.0207
1493733889377,SA0297,-0.0083,0.002,0.0355
1493733889422,SA0297,-0.0046,0.0068,-0.0054
1493733889467,SA0297,0.0009,-0.0042,0.0106
1493733889512,SA0297,-0.0035,-0.0033,-0.0475
1493733889557,SA0297,-0.0023,0.0031,0.0029
1493733889601,SA0297,0.0014,0.0018,0.0084
1493733889647,SA0297,-0.0153,-0.0057,-0.0442
1493733889692,SA0297,0.0118,0.0086,-0.0067
1493733889737,SA0297,-0.0059,-0.0037,0.022
1493733889782,SA0297,-0.018000000000000002,0.0026,-0.0063
1493733889827,SA0297,0.0021,-0.0085,-0.0541
1493733889872,SA0297,0.0076,-0.0002,0.0481
1493733889917,SA0297,-0.0134,0.0042,0.0104
1493733889961,SA0297,-0.0063,0.0,0.0032
1493733890007,SA0297,0.0011,-0.0032,0.0175
1493733890052,SA0297,0.0023,-0.0107,-0.0173
1493733890097,SA0297,-0.0006,0.0038,0.0077
1493733890142,SA0297,-0.0101,-0.0024,-0.0392
1493733890187,SA0297,0.0019,0.0026,-0.0069
1493733890232,SA0297,0.0014,-0.0074,-0.0154
1493733890277,SA0297,-0.0033,0.0002,0.0272
1493733890321,SA0297,-0.0084,0.0017,0.0139
1493733890372,SA0297,-0.0032,0.0009,-0.0226
1493733890417,SA0297,0.0061,-0.0045,-0.0036
1493733890462,SA0297,-0.0037,-0.0035,-0.0151
1493733890507,SA0297,-0.003,0.0006,-0.022
1493733890552,SA0297,-0.0034,-0.0027,0.0183
1493733890597,SA0297,-0.0047,-0.0025,-0.0324
1493733890641,SA0297,0.0003,-0.002,0.006999999999999999
1493733890687,SA0297,-0.0042,-0.004,-0.0063
1493733890733,SA0297,0.0011,0.0032,-0.0023
1493733890777,SA0297,-0.0028,0.0025,0.032
1493733890822,SA0297,-0.0072,-0.0078,-0.0153
1493733890867,SA0297,-0.0015,0.0016,0.0067
1493733890912,SA0297,0.0086,-0.0048,-0.0046
1493733890957,SA0297,0.0205,-0.0052,0.0336
1493733891001,SA0297,-0.0002,-0.0019,-0.0246
1493733891047,SA0297,-0.011,-0.0004,-0.0169
1493733891092,SA0297,-0.0322,0.0156,0.0664
1493733891137,SA0297,-0.0123,-0.0068,0.0289
1493733891182,SA0297,0.0386,0.0065,0.0662
1493733891227,SA0297,-0.0187,-0.0056,0.0697
1493733891272,SA0297,0.0724,0.0097,-0.1269
1493733891317,SA0297,0.0243,0.0084,0.0151
1493733891367,SA0297,-0.0082,-0.0018,-0.0008
1493733891412,SA0297,-0.0085,-0.0016,0.0022
1493733891457,SA0297,0.0022,-0.0324,-0.0058
1493733891503,SA0297,-0.002,-0.0242,0.0016
1493733891548,SA0297,0.0168,-0.0131,-0.0043
1493733891592,SA0297,0.015,0.0128,-0.0258
1493733891638,SA0297,-0.0054,0.0125,-0.0046
1493733891684,SA0297,-0.0036,0.0036,-0.0054
1493733891728,SA0297,-0.0026,-0.0014,-0.003
1493733891773,SA0297,-0.0018,-0.0002,-0.0012
1493733891817,SA0297,-0.004,0.001,-0.0025
1493733891862,SA0297,-0.0019,-0.0017,-0.0014
1493733891907,SA0297,-0.0014,0.0012,-0.0026
1493733891952,SA0297,-0.0016,-0.0006,-0.0012
1493733891998,SA0297,-0.0019,-0.0011,-0.0032
1493733892043,SA0297,-0.0013,0.0,-0.0018
1493733892088,SA0297,-0.0007,-0.0005,-0.0022
1493733892133,SA0297,-0.0031,-0.0006,-0.0029
1493733892177,SA0297,-0.0014,-0.0005,-0.0011
1493733892223,SA0297,-0.0017,-0.0007,-0.0021
1493733892268,SA0297,-0.0009,-0.0005,-0.0037
1493733892313,SA0297,-0.0018,-0.0015,-0.003
1493733892358,SA0297,-0.0015,0.0008,0.0002
1493733892403,SA0297,-0.0014,0.0007,-0.004
1493733892448,SA0297,-0.0026,0.0,-0.0017
1493733892494,SA0297,-0.0003,0.0002,-0.0028
1493733892537,SA0297,-0.0019,0.0009,-0.0024
1493733892583,SA0297,-0.0011,0.0009,-0.0005
1493733892628,SA0297,0.0003,-0.0028,-0.0026
1493733892673,SA0297,-0.0013,0.0003,-0.0032
1493733892718,SA0297,-0.0025,0.0016,-0.0023
1493733892763,SA0297,-0.0037,0.0012,-0.0035
1493733892808,SA0297,-0.0012,0.0017,-0.004
1493733892853,SA0297,-0.0005,0.0012,-0.0022
1493733892897,SA0297,-0.0025,-0.0006,-0.0032
1493733892943,SA0297,-0.0006,0.0018,-0.0028
1493733892988,SA0297,-0.0007,0.0003,-0.0033
1493733893033,SA0297,-0.001,0.0004,-0.0014
1493733893078,SA0297,-0.0027,0.0013,-0.0037
1493733893124,SA0297,0.0019,0.0002,-0.003
1493733893168,SA0297,-0.0006,-0.0008,-0.0022
1493733893213,SA0297,-0.0007,0.0009,-0.0025
1493733893257,SA0297,-0.0008,-0.0008,-0.0023
1493733893303,SA0297,-0.0012,0.0013,-0.0032
1493733893348,SA0297,-0.0025,0.0019,-0.0005
1493733893393,SA0297,-0.0014,-0.0002,-0.0036
1493733893438,SA0297,0.0011,0.0001,-0.003
1493733893483,SA0297,0.0001,-0.0,-0.0025
1493733893528,SA0297,-0.0022,-0.0006,-0.0021
1493733893573,SA0297,-0.001,-0.002,-0.0022
1493733893617,SA0297,-0.0012,-0.0007,-0.0032
1493733893663,SA0297,-0.0015,-0.0017,-0.0021
1493733893708,SA0297,0.0015,0.0033,-0.0019
1493733893753,SA0297,0.001,0.0022,-0.003
1493733893798,SA0297,-0.0043,-0.0077,-0.0014
1493733893844,SA0297,0.0013,0.0048,-0.0033
1493733893888,SA0297,0.0021,0.0027,-0.0043
1493733893933,SA0297,0.0,-0.0028,-0.0034
1493733893977,SA0297,0.0002,-0.0,-0.0056
1493733894023,SA0297,-0.0112,-0.0029,0.0255
1493733894068,SA0297,0.0166,-0.0022,-0.0057
1493733894113,SA0297,0.0005,0.0018,-0.0049
1493733894158,SA0297,-0.0006,-0.0029,-0.0074
1493733894203,SA0297,0.0015,-0.0,-0.0
1493733894248,SA0297,-0.0031,0.0052,-0.0029
1493733894293,SA0297,-0.0079,-0.0015,-0.0038
1493733894339,SA0297,0.0019,0.0002,-0.0032
1493733894383,SA0297,0.0043,0.0017,-0.002
1493733894428,SA0297,-0.0029,-0.0027,-0.0049
1493733894473,SA0297,-0.0011,0.0025,-0.0043
1493733894519,SA0297,0.0029,0.0004,-0.0025
1493733894563,SA0297,-0.0032,-0.0004,-0.0021
1493733894609,SA0297,-0.0028,0.001,-0.0036
1493733894654,SA0297,-0.0003,0.0016,-0.0017
1493733894699,SA0297,0.0017,-0.0006,-0.0023
1493733894744,SA0297,-0.0016,-0.0007,-0.0111
1493733894789,SA0297,0.0055,0.0019,0.0001
1493733894833,SA0297,0.0018,-0.0004,-0.0036
1493733894878,SA0297,-0.0046,-0.0019,-0.0039
1493733894923,SA0297,-0.0019,0.0035,-0.0027
1493733894969,SA0297,0.0001,0.0011,-0.0038
1493733895014,SA0297,-0.002,-0.0001,-0.0012
1493733895059,SA0297,0.0027,0.0025,-0.0037
1493733895103,SA0297,0.0029,-0.001,-0.0029
1493733895148,SA0297,-0.0025,0.0002,-0.0003
1493733895193,SA0297,-0.0029,0.0035,-0.0016
1493733895238,SA0297,0.001,0.0004,-0.0026
1493733895284,SA0297,0.0013,0.0003,-0.0035
1493733895329,SA0297,-0.0024,0.0042,-0.0017
1493733895374,SA0297,-0.0019,-0.0005,-0.0015
1493733895419,SA0297,0.0001,-0.0001,-0.0026
1493733895464,SA0297,-0.001,0.0032,-0.002
1493733895509,SA0297,-0.0,-0.0004,-0.003
1493733895553,SA0297,0.0017,0.0005,-0.0032
1493733895599,SA0297,-0.0008,0.0026,-0.0025
1493733895644,SA0297,-0.0018,-0.0003,-0.0024
1493733895689,SA0297,-0.0031,0.0022,-0.0021
1493733895734,SA0297,0.0,0.0017,-0.003
1493733895779,SA0297,-0.0006,-0.0013,-0.0038
1493733895824,SA0297,-0.0016,-0.0004,-0.0026
1493733895869,SA0297,0.0008,0.002,-0.004
1493733895913,SA0297,0.0001,0.0001,-0.0017
1493733895959,SA0297,-0.0006,0.0011,-0.0049
1493733896004,SA0297,-0.0021,0.0015,-0.0016
1493733896049,SA0297,-0.0019,0.0015,-0.0023
1493733896094,SA0297,-0.0011,0.0005,-0.0039
1493733896139,SA0297,-0.0007,0.0005,-0.0022
1493733896185,SA0297,-0.0012,0.0011,-0.0019
1493733896229,SA0297,0.0008,0.0015,-0.003
1493733896281,SA0297,-0.0016,0.0002,-0.0041
1493733896319,SA0297,-0.0036,0.0016,-0.0051
1493733896365,SA0297,-0.0025,0.0039,-0.0022
1493733896414,SA0297,-0.0005,0.0002,-0.0045
1493733896459,SA0297,0.0025,-0.0003,-0.0043
1493733896505,SA0297,0.0036,0.0012,-0.0013
1493733896549,SA0297,-0.0004,-0.0019,-0.004
1493733896593,SA0297,-0.0008,-0.0002,-0.0039
1493733896639,SA0297,-0.0042,0.0014,-0.0037
1493733896684,SA0297,-0.0031,0.0027,-0.0038
1493733896729,SA0297,0.0033,-0.0001,-0.004
1493733896774,SA0297,0.0007,-0.0019,-0.0033
1493733896819,SA0297,-0.003,0.0009,-0.0033
1493733896864,SA0297,0.0,0.0042,-0.0021
1493733896909,SA0297,-0.0015,-0.0004,-0.0048
1493733896953,SA0297,-0.0009,0.0004,-0.0031
1493733896999,SA0297,0.0016,0.0004,-0.0028
1493733897044,SA0297,-0.0011,0.0005,-0.0015
1493733897089,SA0297,-0.0,-0.0024,-0.0049
1493733897134,SA0297,0.0007,0.0038,-0.0032
1493733897180,SA0297,-0.0038,0.0003,-0.0048
1493733897224,SA0297,-0.0005,-0.0,-0.002
1493733897269,SA0297,0.001,0.0035,-0.0029
1493733897316,SA0297,-0.0023,-0.0015,-0.0031
1493733897359,SA0297,-0.0194,0.0058,0.0203
1493733897409,SA0297,0.0177,0.0043,-0.0038
1493733897455,SA0297,-0.0304,-0.0098,-0.0003
1493733897499,SA0297,-0.0958,-0.0115,0.0194
1493733897544,SA0297,-0.2182,0.0102,-0.1039
1493733897589,SA0297,-0.0033,0.018000000000000002,-0.0639
1493733897637,SA0297,-0.1308,-0.1117,-0.3146
1493733897679,SA0297,0.2026,0.0965,-0.2637
1493733897725,SA0297,-0.0535,0.0996,-0.1693
1493733897769,SA0297,0.3218,0.0306,-0.1335
1493733897815,SA0297,0.3667,0.1004,0.1288
1493733897859,SA0297,0.3434,0.027000000000000003,0.3899
1493733897904,SA0297,0.4063,0.188,0.402
1493733897950,SA0297,0.3935,0.1508,0.2739
1493733897995,SA0297,0.2218,-0.2176,-0.2468
1493733898041,SA0297,0.0852,-0.0305,-0.2303
1493733898085,SA0297,-0.0784,-0.1869,-0.2538
1493733898129,SA0297,0.0708,-0.0883,-0.2147
1493733898175,SA0297,0.1179,-0.0342,0.0372
1493733898219,SA0297,0.1717,0.0957,0.2094
1493733898264,SA0297,-0.0887,0.0723,0.0234
1493733898309,SA0297,-0.0201,0.0303,0.0193
1493733898355,SA0297,-0.034,-0.0442,0.0403
1493733898405,SA0297,0.0531,-0.0528,-0.1159
1493733898449,SA0297,-0.0998,0.09,0.0503
1493733898494,SA0297,-0.0981,0.0427,0.0463
1493733898539,SA0297,0.0451,0.0718,-0.0693
1493733898584,SA0297,0.0189,0.0024,0.0278
1493733898630,SA0297,0.0257,0.0105,-0.0196
1493733898675,SA0297,-0.0169,0.0029,-0.033
1493733898720,SA0297,-0.1355,0.0184,0.7028
1493733898765,SA0297,-0.1055,-0.1745,0.5127
1493733898809,SA0297,0.1363,0.0445,-0.1798
1493733898855,SA0297,-0.1589,-0.0644,0.0824
1493733898900,SA0297,0.0219,-0.0234,0.0406
1493733898945,SA0297,0.0191,0.0481,-0.0364
1493733898990,SA0297,-0.0,0.024,-0.0052
1493733899035,SA0297,0.0176,-0.0037,-0.0083
1493733899080,SA0297,-0.001,0.0016,0.0034
1493733899125,SA0297,-0.0027,0.0064,0.001
1493733899169,SA0297,-0.0009,-0.0005,0.0022
1493733899215,SA0297,0.0061,0.0066,-0.0037
1493733899260,SA0297,-0.0035,0.0013,-0.0026
1493733899305,SA0297,0.0029,0.0003,-0.0026
1493733899350,SA0297,0.0048,0.0069,-0.0026
1493733899400,SA0297,-0.0019,-0.0023,-0.0032
1493733899445,SA0297,-0.0023,0.008,-0.0034
1493733899489,SA0297,-0.0038,-0.0014,-0.0025
1493733899535,SA0297,0.0043,0.0043,-0.0067
1493733899580,SA0297,0.0024,0.0033,-0.0044
1493733899625,SA0297,-0.0016,-0.0053,-0.0031
1493733899670,SA0297,0.0059,0.0052,-0.0037
1493733899716,SA0297,0.0027,-0.0016,-0.0044
1493733899760,SA0297,-0.0024,-0.0001,-0.0035
1493733899805,SA0297,0.0015,0.0019,-0.0023
1493733899849,SA0297,0.0008,0.003,-0.0014
1493733899895,SA0297,0.0003,-0.0005,-0.0042
1493733899941,SA0297,-0.0038,0.0029,-0.0023
1493733899985,SA0297,0.0023,0.0019,-0.0029
1493733900030,SA0297,0.0004,-0.0047,-0.0019
1493733900075,SA0297,0.0013,0.0066,-0.0032
1493733900120,SA0297,0.0005,0.0017,-0.0015
1493733900165,SA0297,0.0012,-0.0038,-0.0005
1493733900209,SA0297,-0.0011,0.0071,-0.0056
1493733900255,SA0297,-0.0044,-0.0003,-0.0038
1493733900300,SA0297,-0.0001,-0.0035,-0.0038
1493733900345,SA0297,0.0048,0.0034,-0.0036
1493733900395,SA0297,0.0003,-0.0017,-0.0037
1493733900440,SA0297,-0.0039,-0.0024,-0.0014
1493733900486,SA0297,0.002,0.0037,-0.0021
1493733900529,SA0297,-0.0016,0.0015,-0.0027
1493733900576,SA0297,-0.0013,-0.0023,-0.0032
1493733900620,SA0297,0.0012,0.0056,-0.0051
1493733900665,SA0297,-0.0028,-0.001,-0.0046
1493733900710,SA0297,-0.0021,0.0006,-0.0022
1493733900756,SA0297,-0.0033,0.0029,-0.0019
1493733900800,SA0297,-0.0008,-0.003,-0.0031
1493733900845,SA0297,0.0058,0.0025,-0.0047
1493733900889,SA0297,0.0011,0.0026,-0.0033
1493733900936,SA0297,-0.0026,-0.0001,-0.0029
1493733900981,SA0297,-0.001,0.0028,-0.0045
1493733901025,SA0297,-0.0009,0.0042,-0.0029
1493733901071,SA0297,-0.005,-0.0029,-0.0039
1493733901116,SA0297,0.0014,0.0023,-0.0046
1493733901161,SA0297,0.002,0.0016,-0.0028
1493733901206,SA0297,-0.0003,-0.0024,-0.0039
1493733901251,SA0297,0.0014,0.0034,-0.0021
1493733901296,SA0297,-0.0017,0.0007,-0.0036
1493733901341,SA0297,-0.0044,-0.0019,-0.0014
1493733901391,SA0297,0.0003,0.0038,-0.001
1493733901436,SA0297,-0.0019,-0.0003,-0.0046
1493733901481,SA0297,-0.0017,-0.002,-0.0031
1493733901526,SA0297,0.002,0.0011,-0.0046
1493733901571,SA0297,-0.0034,0.0011,-0.0012
1493733901616,SA0297,-0.002,0.002,-0.0031
1493733901661,SA0297,0.0027,0.0035,-0.0029
1493733901705,SA0297,-0.0025,-0.002,-0.003
1493733901751,SA0297,0.0013,-0.0011,-0.0039
1493733901796,SA0297,0.004,0.0026,-0.0018
1493733901841,SA0297,-0.0018,-0.001,-0.0027
1493733901886,SA0297,0.0001,0.001,-0.0015
1493733901931,SA0297,0.0005,0.0034,-0.0015
1493733901976,SA0297,-0.0049,-0.0023,-0.003
1493733902021,SA0297,0.0005,-0.0007,-0.0032
1493733902067,SA0297,0.0005,0.0032,-0.003
1493733902111,SA0297,-0.0002,-0.0017,-0.0023
1493733902156,SA0297,0.002,-0.0006,-0.0029
1493733902201,SA0297,-0.0018,0.0031,-0.0037
1493733902246,SA0297,-0.0019,-0.003,-0.0059
1493733902291,SA0297,-0.0013,0.0007,0.0062
1493733902336,SA0297,0.0017,0.0024,-0.0049
1493733902385,SA0297,-0.0028,-0.0022,-0.0005
1493733902431,SA0297,0.0003,0.0068,-0.0054
1493733902476,SA0297,-0.0013,-0.005,-0.0058
1493733902521,SA0297,0.0011,0.0011,-0.0065
1493733902566,SA0297,-0.0036,0.0,-0.0041
1493733902611,SA0297,-0.0025,-0.0019,-0.0029
1493733902656,SA0297,0.0051,0.0027,-0.0023
1493733902701,SA0297,-0.0016,-0.0022,-0.0019
1493733902745,SA0297,-0.0021,0.0055,-0.005
1493733902791,SA0297,-0.0029,-0.0002,-0.0037
1493733902836,SA0297,-0.0011,-0.0059,-0.003
1493733902881,SA0297,-0.0029,0.0125,-0.0025
1493733902928,SA0297,-0.006999999999999999,-0.0061,-0.0024
1493733902971,SA0297,0.0042,-0.0024,-0.0029
1493733903016,SA0297,0.0022,0.0021,-0.0037
1493733903062,SA0297,-0.0051,-0.0029,-0.0055
1493733903105,SA0297,0.0005,0.0053,-0.0048
1493733903153,SA0297,0.003,0.0031,-0.0027
1493733903196,SA0297,-0.0047,-0.0024,-0.0028
1493733903241,SA0297,-0.0003,-0.0006,-0.0007
1493733903286,SA0297,0.0015,0.0023,-0.0031
1493733903332,SA0297,-0.0028,-0.0008,-0.002
1493733903381,SA0297,-0.0005,0.0014,-0.0036
1493733903425,SA0297,0.0034,0.0044,-0.0036
1493733903471,SA0297,-0.0026,-0.0033,-0.0045
1493733903516,SA0297,0.0013,0.0034,-0.0048
1493733903561,SA0297,-0.0001,0.0016,-0.0019
1493733903608,SA0297,-0.0031,-0.0025,-0.0024
1493733903653,SA0297,-0.0006,-0.0004,-0.0036
1493733903696,SA0297,0.0037,0.0031,-0.0021
1493733903742,SA0297,-0.0003,-0.0011,-0.0007
1493733903785,SA0297,0.0004,0.0025,-0.0029
1493733903831,SA0297,-0.0006,0.0032,-0.0035
1493733903876,SA0297,-0.0032,-0.0002,-0.0029
1493733903921,SA0297,-0.0015,0.0023,-0.0033
1493733903966,SA0297,-0.0049,-0.0006,-0.0048
1493733904012,SA0297,-0.0007,-0.0017,-0.0004
1493733904057,SA0297,-0.0052,0.0043,-0.0042
1493733904102,SA0297,0.0023,0.0026,-0.0028
1493733904147,SA0297,0.0014,-0.0042,-0.0018
1493733904192,SA0297,-0.0004,-0.001,-0.0024
1493733904237,SA0297,0.0016,0.002,-0.0048
1493733904281,SA0297,-0.0063,-0.0025,-0.0045
1493733904327,SA0297,0.0005,0.0026,-0.003
1493733904372,SA0297,0.0003,0.0075,-0.0015
1493733904422,SA0297,-0.0044,-0.0022,-0.0043
1493733904467,SA0297,-0.0073,-0.0017,-0.0035
1493733904512,SA0297,0.0002,0.0025,-0.0032
1493733904557,SA0297,-0.006999999999999999,0.0051,-0.005
1493733904601,SA0297,0.0033,-0.0061,-0.0013
1493733904647,SA0297,0.0005,0.0001,-0.0025
1493733904692,SA0297,0.0022,0.0009,-0.0042
1493733904737,SA0297,0.0115,-0.0061,-0.0076
1493733904783,SA0297,-0.0033,0.0012,-0.0035
1493733904827,SA0297,-0.0006,0.004,-0.0037
1493733904872,SA0297,0.2475,0.0111,-0.1883
1493733904916,SA0297,0.0046,0.0408,-0.0095
1493733905052,SA0297,0.0096,0.0035,0.006
1493733905097,SA0297,-0.0107,-0.0213,0.0018
1493733905142,SA0297,-0.0081,-0.0102,-0.0011
